conv_id,utterance_idx,context,prompt,speaker_idx,utterance,ut_len,Empathy,Talker,Sentiment,Emotion,Taxonomy,Intent
hit:2273_conv:4546,2,proud,My son just graduated from high school in the spring. It was a long and tough road_comma_ but he made it.,250,Congrats! You must be excited to start your career.,51,4,2,"{'sentiment': {'negative': 0.009, 'neutral': 0.053, 'positive': 0.938}}","{'emotion': {'Happy': 0.4672316023, 'Fear': 0.1404253714, 'Sad': 0.0527207414, 'Bored': 0.0, 'Angry': 0.0762688422, 'Excited': 0.2633534428}}","{'taxonomy': [{'confidence_score': 0.4041187167, 'tag': 'BUSINESS'}, {'confidence_score': 0.1874168068, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.1268801093, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.055, 'query': 0.081, 'spam': 0.215, 'marketing': 0.143, 'feedback': {'score': 0.506, 'tag': {'complaint': 0.005, 'suggestion': 0.029, 'appreciation': 0.966}}}}"
hit:2273_conv:4546,3,proud,My son just graduated from high school in the spring. It was a long and tough road_comma_ but he made it.,243,"Yes I am! It was a long and tough road, but it's finally over!",68,4,1,"{'sentiment': {'negative': 0.279, 'neutral': 0.391, 'positive': 0.33}}","{'emotion': {'Angry': 0.0875158355, 'Excited': 0.3624463839, 'Fear': 0.1296515987, 'Happy': 0.2221974964, 'Sad': 0.0790760086, 'Bored': 0.1191126769}}","{'taxonomy': [{'confidence_score': 0.6510062218, 'tag': 'POLITICS'}, {'confidence_score': 0.1846229434, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.103165701, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.047, 'query': 0.155, 'spam': 0.093, 'marketing': 0.028, 'feedback': {'score': 0.677, 'tag': {'complaint': 0.061, 'suggestion': 0.04, 'appreciation': 0.899}}}}"
hit:2273_conv:4546,4,proud,My son just graduated from high school in the spring. It was a long and tough road_comma_ but he made it.,250,I'm glad you stayed the course. There are a lot of big opportunities in store for you.,86,4,2,"{'sentiment': {'negative': 0.088, 'neutral': 0.333, 'positive': 0.579}}","{'emotion': {'Happy': 0.4447044371, 'Fear': 0.0842551054, 'Sad': 0.0565427895, 'Bored': 0.027200948, 'Angry': 0.0846888596, 'Excited': 0.3026078604}}","{'taxonomy': [{'confidence_score': 0.4120693505, 'tag': 'BUSINESS'}, {'confidence_score': 0.3772889674, 'tag': 'IMPACT'}, {'confidence_score': 0.0690647736, 'tag': 'POLITICS'}]}","{'intent': {'news': 0.017, 'query': 0.055, 'spam': 0.153, 'marketing': 0.091, 'feedback': {'score': 0.684, 'tag': {'complaint': 0.031, 'suggestion': 0.245, 'appreciation': 0.724}}}}"
hit:287_conv:575,1,surprised,One Christmas i was really into the holiday season. I was a kid at the time and well i didn't expect my parents to buy me certain gifts. Ended up i got both Pokemon games and went crazy happy from the gift.,68,So when i got Pokemon for christmas was i was a kid i was so surprised i lost my mind i was so happy and hyper.,111,1,1,"{'sentiment': {'negative': 0.116, 'neutral': 0.215, 'positive': 0.669}}","{'emotion': {'Happy': 0.1271208111, 'Fear': 0.4453324971, 'Excited': 0.2144678112, 'Bored': 0.0178764631, 'Sad': 0.1694867918, 'Angry': 0.0257156258}}","{'taxonomy': [{'confidence_score': 0.9033610225, 'tag': 'IMPACT'}, {'confidence_score': 0.0864926279, 'tag': 'HEALTHY LIVING'}, {'confidence_score': 0.003727935, 'tag': 'WORLDPOST'}]}","{'intent': {'news': 0.005, 'query': 0.03, 'spam': 0.586, 'marketing': 0.011, 'feedback': 0.368}}"
hit:287_conv:575,2,surprised,One Christmas i was really into the holiday season. I was a kid at the time and well i didn't expect my parents to buy me certain gifts. Ended up i got both Pokemon games and went crazy happy from the gift.,4,I love Pokemon.,15,1,2,"{'sentiment': {'negative': 0.002, 'neutral': 0.059, 'positive': 0.939}}","{'emotion': {'Excited': 0.3278676303, 'Fear': 0.1799114796, 'Angry': 0.0267689736, 'Happy': 0.3538280211, 'Sad': 0.0986312976, 'Bored': 0.0129925979}}","{'taxonomy': [{'confidence_score': 0.3502259851, 'tag': 'TECH'}, {'confidence_score': 0.3485298455, 'tag': 'IMPACT'}, {'confidence_score': 0.1323161572, 'tag': 'POLITICS'}]}","{'intent': {'news': 0.001, 'query': 0.002, 'spam': 0.457, 'marketing': 0.018, 'feedback': {'score': 0.523, 'tag': {'complaint': 0.0, 'suggestion': 0.006, 'appreciation': 0.994}}}}"
hit:287_conv:575,3,surprised,One Christmas i was really into the holiday season. I was a kid at the time and well i didn't expect my parents to buy me certain gifts. Ended up i got both Pokemon games and went crazy happy from the gift.,68,"Nice, They also got it on recording so you just see me screaming ""POKEMON! POKEMON!""",90,1,1,"{'sentiment': {'negative': 0.056, 'neutral': 0.275, 'positive': 0.669}}","{'emotion': {'Happy': 0.154318811, 'Fear': 0.2002885267, 'Sad': 0.1712631212, 'Bored': 0.0, 'Angry': 0.3004650978, 'Excited': 0.1736644433}}","{'taxonomy': [{'confidence_score': 0.8481330872, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.0727800727, 'tag': 'WORLDPOST'}, {'confidence_score': 0.0374253802, 'tag': 'SPORTS'}]}","{'intent': {'news': 0.026, 'query': 0.035, 'spam': 0.538, 'marketing': 0.061, 'feedback': 0.34}}"
hit:287_conv:575,4,surprised,One Christmas i was really into the holiday season. I was a kid at the time and well i didn't expect my parents to buy me certain gifts. Ended up i got both Pokemon games and went crazy happy from the gift.,4,Cool. I liked Pokemon blue.,27,1,2,"{'sentiment': {'negative': 0.059, 'neutral': 0.156, 'positive': 0.785}}","{'emotion': {'Angry': 0.3213693765, 'Sad': 0.3175171958, 'Excited': 0.0839263672, 'Bored': 0.0255979842, 'Happy': 0.1269965789, 'Fear': 0.1245924975}}","{'taxonomy': [{'confidence_score': 0.3861483634, 'tag': 'TECH'}, {'confidence_score': 0.2490964085, 'tag': 'IMPACT'}, {'confidence_score': 0.1540756524, 'tag': 'EDUCATION'}]}","{'intent': {'news': 0.012, 'query': 0.023, 'spam': 0.465, 'marketing': 0.084, 'feedback': 0.416}}"
hit:3387_conv:6774,1,sad,Heavy clouds make me feel bad for some reason.,326,For some reason I never liked cloudy weather.,45,3,1,"{'sentiment': {'negative': 0.814, 'neutral': 0.156, 'positive': 0.03}}","{'emotion': {'Excited': 0.0239207286, 'Fear': 0.1848579296, 'Angry': 0.3924274247, 'Happy': 0.0225463732, 'Sad': 0.309734741, 'Bored': 0.0665128028}}","{'taxonomy': [{'confidence_score': 0.7493900657, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.1165090948, 'tag': 'POLITICS'}, {'confidence_score': 0.0807124451, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.008, 'query': 0.18, 'spam': 0.153, 'marketing': 0.015, 'feedback': {'score': 0.644, 'tag': {'complaint': 0.641, 'suggestion': 0.065, 'appreciation': 0.294}}}}"
hit:3387_conv:6774,2,sad,Heavy clouds make me feel bad for some reason.,188,Me neither. It's why I hate living in London,44,3,2,"{'sentiment': {'negative': 0.881, 'neutral': 0.113, 'positive': 0.006}}","{'emotion': {'Angry': 0.4185989648, 'Sad': 0.3158603045, 'Excited': 0.0127075801, 'Bored': 0.1066092751, 'Happy': 0.0109195671, 'Fear': 0.1353043084}}","{'taxonomy': [{'confidence_score': 0.2560577095, 'tag': 'IMPACT'}, {'confidence_score': 0.2225758135, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.2019639015, 'tag': 'HEALTHY LIVING'}]}","{'intent': {'news': 0.009, 'query': 0.266, 'spam': 0.278, 'marketing': 0.005, 'feedback': {'score': 0.442, 'tag': {'complaint': 0.884, 'suggestion': 0.084, 'appreciation': 0.032}}}}"
hit:3387_conv:6774,3,sad,Heavy clouds make me feel bad for some reason.,326,"Oh I don't know how you guys do it, you must have artificial sun at home?",79,3,1,"{'sentiment': {'negative': 0.354, 'neutral': 0.613, 'positive': 0.033}}","{'emotion': {'Excited': 0.1041002742, 'Fear': 0.2824605428, 'Angry': 0.2883196673, 'Happy': 0.0665541161, 'Sad': 0.1513724478, 'Bored': 0.1071929518}}","{'taxonomy': [{'confidence_score': 0.625015676, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.1849770993, 'tag': 'HEALTHY LIVING'}, {'confidence_score': 0.1010658592, 'tag': 'SCIENCE'}]}","{'intent': {'news': 0.004, 'query': 0.276, 'spam': 0.361, 'marketing': 0.003, 'feedback': 0.355}}"
hit:3387_conv:6774,4,sad,Heavy clouds make me feel bad for some reason.,188,Nope. We just remain miserable year round,41,3,2,"{'sentiment': {'negative': 0.901, 'neutral': 0.09, 'positive': 0.01}}","{'emotion': {'Angry': 0.3003097483, 'Excited': 0.090894583, 'Fear': 0.1463147216, 'Happy': 0.0743189939, 'Sad': 0.2495596267, 'Bored': 0.1386023264}}","{'taxonomy': [{'confidence_score': 0.4150785506, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.1783187836, 'tag': 'ARTS & CULTURE'}, {'confidence_score': 0.1004898623, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.035, 'query': 0.12, 'spam': 0.364, 'marketing': 0.011, 'feedback': {'score': 0.47, 'tag': {'complaint': 0.769, 'suggestion': 0.11, 'appreciation': 0.121}}}}"
hit:7644_conv:15289,1,disgusted,I saw a guy put chocolate in his soup.  It was pretty gross.,322,I saw a guy put chocolate in his soup.,38,4,1,"{'sentiment': {'negative': 0.084, 'neutral': 0.634, 'positive': 0.282}}","{'emotion': {'Excited': 0.0853015745, 'Fear': 0.4660356777, 'Angry': 0.0559704417, 'Happy': 0.1982499659, 'Sad': 0.1781211193, 'Bored': 0.0163212209}}","{'taxonomy': [{'confidence_score': 0.7252624035, 'tag': 'IMPACT'}, {'confidence_score': 0.1120136157, 'tag': 'TASTE'}, {'confidence_score': 0.093472138, 'tag': 'ENTERTAINMENT'}]}","{'intent': {'news': 0.015, 'query': 0.043, 'spam': 0.582, 'marketing': 0.007, 'feedback': 0.352}}"
hit:7644_conv:15289,2,disgusted,I saw a guy put chocolate in his soup.  It was pretty gross.,59,Ew! That must have been so disgusting!,38,4,2,"{'sentiment': {'negative': 0.981, 'neutral': 0.019, 'positive': 0.0}}","{'emotion': {'Excited': 0.0037250368, 'Fear': 0.5981500867, 'Sad': 0.2352842022, 'Happy': 0.0014020263, 'Bored': 0.0073403594, 'Angry': 0.1540982886}}","{'taxonomy': [{'confidence_score': 0.7934890389, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.1101409271, 'tag': 'POLITICS'}, {'confidence_score': 0.0543925241, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.005, 'query': 0.094, 'spam': 0.179, 'marketing': 0.0, 'feedback': {'score': 0.721, 'tag': {'complaint': 0.97, 'suggestion': 0.019, 'appreciation': 0.011}}}}"
hit:7644_conv:15289,3,disgusted,I saw a guy put chocolate in his soup.  It was pretty gross.,322,"Yeah, it looked pretty gross.",35,4,1,"{'sentiment': {'negative': 0.755, 'neutral': 0.235, 'positive': 0.01}}","{'emotion': {'Happy': 0.0244595842, 'Fear': 0.6095475208, 'Sad': 0.1627284551, 'Bored': 0.0194656432, 'Angry': 0.1666967818, 'Excited': 0.0171020149}}","{'taxonomy': [{'confidence_score': 0.3590896726, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.2508925796, 'tag': 'POLITICS'}, {'confidence_score': 0.1726456285, 'tag': 'SPORTS'}]}","{'intent': {'news': 0.002, 'query': 0.052, 'spam': 0.362, 'marketing': 0.001, 'feedback': {'score': 0.583, 'tag': {'complaint': 0.654, 'suggestion': 0.074, 'appreciation': 0.272}}}}"
hit:7644_conv:15289,4,disgusted,I saw a guy put chocolate in his soup.  It was pretty gross.,59,It must have tasted even worse. ,32,4,2,"{'sentiment': {'negative': 0.922, 'neutral': 0.073, 'positive': 0.005}}","{'emotion': {'Angry': 0.0962567841, 'Sad': 0.2407737744, 'Excited': 0.0215119114, 'Bored': 0.0159035694, 'Happy': 0.0189491659, 'Fear': 0.6066047949}}","{'taxonomy': [{'confidence_score': 0.3110977411, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.2828593254, 'tag': 'POLITICS'}, {'confidence_score': 0.1175151765, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.019, 'query': 0.273, 'spam': 0.196, 'marketing': 0.004, 'feedback': {'score': 0.508, 'tag': {'complaint': 0.771, 'suggestion': 0.163, 'appreciation': 0.066}}}}"
hit:11159_conv:22319,1,ashamed,I was walking on the road and I fell,653,"I was walking on the road, hurrying and I slip and fell. There were several people on the road. I felt really bad.",120,4,1,"{'sentiment': {'negative': 0.948, 'neutral': 0.048, 'positive': 0.004}}","{'emotion': {'Angry': 0.0506701548, 'Excited': 0.0450824438, 'Happy': 0.0454110586, 'Sad': 0.5253085934, 'Bored': 0.0091260534, 'Fear': 0.324401696}}","{'taxonomy': [{'confidence_score': 0.6749949455, 'tag': 'IMPACT'}, {'confidence_score': 0.2183786184, 'tag': 'WORLDPOST'}, {'confidence_score': 0.0445238426, 'tag': 'ENTERTAINMENT'}]}","{'intent': {'news': 0.002, 'query': 0.04, 'spam': 0.102, 'marketing': 0.0, 'feedback': {'score': 0.855, 'tag': {'complaint': 0.92, 'suggestion': 0.014, 'appreciation': 0.066}}}}"
hit:11159_conv:22319,2,ashamed,I was walking on the road and I fell,805,Were you hurt?,14,4,2,"{'sentiment': {'negative': 0.777, 'neutral': 0.222, 'positive': 0.001}}","{'emotion': {'Happy': 0.0713986037, 'Fear': 0.1818086207, 'Sad': 0.4478661481, 'Bored': 0.0813050026, 'Angry': 0.1290250299, 'Excited': 0.0885965949}}","{'taxonomy': [{'confidence_score': 0.3730389774, 'tag': 'POLITICS'}, {'confidence_score': 0.2048164606, 'tag': 'ENTERTAINMENT'}, {'confidence_score': 0.1795083582, 'tag': 'IMPACT'}]}","{'intent': {'news': 0.001, 'query': 0.532, 'spam': 0.3, 'marketing': 0.0, 'feedback': 0.167}}"
